mileage,price,Bike,Types and Used Time,description
500 miles,"$19,994 ",R 18 TRANSCONTINENTAL,  2022 BMW Cruiser,STOCK# E74422    500 MILES FIRST EDITION WARRANTY TILL 10/24
"16,479 miles","$20,995 ",K 1600 B Grand America 1600 GRAND AMERICA,  2019 BMW Touring,"This   2019 BMW K1600B Grand America is for sale at Cycle Werks in Barrington in Barrington IL and is in excellent condition with 16479 miles.  Our service department has inspected the bike and performed the 18K service which included an oil and oil filter change, Rear Drive Oil Change, Coolant Flush, Brake Fluid Flush and also new Spark Plugs.  This bike is ready to ride!  It is equipped with the Premium Package, Bluetooth Interface Control, Dynamic Electronic Suspension Adjustment, Gear Shift Assist Pro, Floor Boards, ABS Pro, Power Adjusting Tinted Touring Windscreen, Anti Theft Alarm System, Center Stand, Adaptive Headlight, Dynamic Traction Control, Keyless Ride, Audio System w/Radio, Comfort Package, Reverse Assist, Tire Pressure Monitors, Auxiliary LED Running Lights, Engine Protection Bars, Top Case w/Speakers, Sargent Custom Heated Seat, Heated Grips, Safety Plus Package, Saddle Bag Speakers, Top Case Rack w/Flagpole, Black Freedom Performance Exhaust Pipes, Saddle Bag Protection Bars, Battery Tender Lead, Bar Risers, Navigation System, Upgraded Front Speakers and a Kenwood Amplifier."
"123,456 miles","$21,000 ",R 60 /2,  1966 BMW Classic / Vintage,
"7,709 miles","$20,000 ",K 1600 GRAND AMERICA,  2019 BMW Cruiser,
"20,311 miles","$19,595 ",K 1600 B Grand America 1600 GRAND AMERICA,  2018 BMW Touring,"This   2018 BMW K1600B Grand America is for sale at Cycle Werks in Barrington in Barrington IL and is in excellent condition with 20311 miles.  Our service department has inspected the bike and performed an oil and oil filter change so this bike is ready to ride.  This bike is equipped with the Premium Package, Bluetooth Interface,Dynamic Electronic Suspension Adjustment, Hill Start Control, Adaptive Headlight, Dynamic Traction Control, Keyless Ride, Gear Shift Assist Pro, Audio System with Radio, ABS Pro, Tinted High Windscreen, Anti Theft Alarm, Engine Protection Bars, Floor Boards, Central Locking System, Reverse Assist, Tire Pressure Monitors, Auxiliary LED Running Lights, Center Stand, Power Adjusting Windscreen, Heated Grips , Heated Seat, Headlight Guard, Tinted Air Flow Wind Deflectors, Side Body Protection Bars, Saddle Bag Protection Bars, Dash Bag, Bar Risers, Back Rest and a Battery Tender Lead."
"9,354 miles","$19,500 ",R 1250 GS,  2020 BMW Dual Sport,
"13,400 miles","$25,000 ",K 1600 GTL,  2019 BMW Sport Touring,
"13,301 miles","$12,499 ",R 1200 GS Adventure,  2012 BMW Standard,"Corbin Seat, Engine Guards, Skid Plate, PIAA Headlights, Oversized Windshield and Bags!"
"8,048 miles","$23,995 ",R 1250 RT,  2021 BMW Touring,"This   2021 BMW R1250RT is for sale at Cycle Werks in Barrington in Barrington IL and is in immaculate condition with only 8048 miles.  Our service department has inspected the bike and performed an oil and oil filter change along with changing the rear drive fluid and also completing a brake fluid flush.  This bike is ready to ride!  This bike has BMW warranty remaining until 9/04/2024 or 36000 miles and is equipped with the Premium Package, Dynamic Engine Brake Control, Keyless Ride, Gear Shift Assist Pro, Adaptive Headlight, Dynamic Electronic Suspension Adjustment, Headlight Pro, Ride Modes Pro, Central Locking System, ABS Pro, Heated Seat, Auxiliary LED Running Lights, Anti Theft Alarm System, Chrome Exhaust Pipe, Active Cruise Control, Power Adjusting Windscreen, Heated Grips, Tire Pressure Monitors, BMW Body Color Matched Top Case, Engine Protection Bars, Highway Pegs and a Battery Tender Lead."
"2,900 miles","$21,900 ",R 1250 GS,  2022 BMW Dual Sport,Premium Package
"9,200 miles","$19,999 ",S 1000 XR,  2021 BMW Sport Touring,
