mileage,price,Bike,Types and Used Time,description
"10,336 miles","$14,994 ",1290 SUPER DUKE GT,  2019 KTM Sport Touring,"This bike has been sold. Delivery is expected this week.Thank you for your interest in my bike.Please note that I am not able to completely describe my motorcycle here because of Cycle Traders limit on the number of characters permitted in their ad's.Beyond pictures, you owe it to yourself to learn what sets my bike apart from all the rest - SEE MY EBAY MOTORS LISTING BELOW that details features and enhancements and shows you all the extras that I am including with this bike -  -"
"5,796 miles","$10,999 ",SMC 690 R,  2019 KTM Super Moto,"I purchased this 2019 KTM SMCR 690 last year with 5700 miles on it. I have only put 100 miles on the bike and, unfortunately, am forced to sell the bike due to an impending neck surgery that will not allow me to ride motorcycles for a while. I have ridden Kawasaki, Honda, Suzuki, Yamaha, Ducati, and KTM bikes and have never ridden anything this enthusiastic. At only 306 lbs dry, this thing is so flickable and truly is a wheelie monster. The front wheel lifts easily with the flick of your wrist. If that’s your thing, the SMCR 690 will not disappoint.The previous owner had a gentle lay down in a parking and left a little bit of rash on the right handguard, clutch, front fork knuckle, and ever so slight rash on the swingarm. He also stripped the graphics and painted the bike black. The very minor damage does not affect how the bike rides at all. I have had it inspected by KTM to ensure that it was safe to ride and have had most of the rash fixed.While the black did look menacing, it needed a little something else so I spruced it up with a brand new graphics kit. The swingarm hardly had any rash, which I covered up with some swingarm sliders. The handguards were replaced with OEM KTM handguards. Rather than purchasing a new clutch cover due to the rash on the bottom, I purchased a KTM power parts carbon fiber clutch cover so it does need a new clutch cover if you want to take the carbon fiber cover off (but why would you do that?) Finally, the most rash is on the front fork knuckle which, unfortunately, cannot be replaced without replacing the entire fork. Now that the bad is out of the way, let’s get to the good (or great). I have added a number of upgrades making this, in my humble opinion, one of the best looking KTM SMC R 690’s out there. Here’s a list of all of the upgrades:In preparation for the sale, I have performed the following maintenance:CLEAN TITLE. (214)-799-9116"
485 miles,"$9,500 ",350 EXC-F,  2018 KTM Dual Sport,"KTM 350 EXC-F is based largely on the 2016 SX models, but featuring lighter, more compact engines that improve power delivery. While described as a “dual sport,” these bikes are essentially racing dirt bikes with turn signals and a provision for a license plate. I am the original owner and bike is “barely ridden” with under 500 miles on the odometer.The 350-cc four-stroke fuel-injected single-cylinder engine knocked almost 4.5 pounds off of the engine of the SX series bikes. The manufacturer describes as the most perfectly balanced powerplant. These bikes feature a Keihin Engine Management System with a 42-mm throttle body and separate circuits for cold start and idle adjustments. The engine starts easily on the electric start, and runs perfectly. The bike has a six-speed manual gearbox sourced from PANKL Racing Systems, which allows the bike to have the highest durability and reliability level. No leaks from the engine or the gearbox.Bodywork consists of a headlight bucket, front and rear fenders, and side panels, all molded in orange and black plastic with vinyl KTM graphics. The bike shows no signs of damage to the bodywork, on the fender edges, or the sides. The body covers a 2.245-gallon fuel tank made of translucent plastic for easy fuel level visibility. The only modification the seller points out is the addition of plastic handguards that are mounted to a cast-aluminum frame. The seat is a black, grippy vinyl, which allows significant range of motion when seated or standing on the pegs. The upholstery has no damage, the handgrips is in good condition, and the ends of the brake and clutch levers have no damage from falls. Both the brake pedal and the shifter lever, and the bear-trap footpegs, are in good shape. The only gauge is a small digital meter with a speedometer readout and odometer showing 485 miles. The EXC-F chassis is lightweight chromoly steel, while the rear subframe is aluminum and weighs just 900 grams. The 260-mm front and 220-mm rear disc brakes, and the black aluminum spoked wheels, are reported to be from the factory. The wheels are equipped with new racing tires as new, and the original never   are also available. DOCUMENTATION - Directly owned, will be sold on a clean New York title . Four-stroke dual sport motorcycles like this 2017 KTM 350 EXC-F provide the light weight and agility of a dirt bike, with the required equipment for legal registration in all 50 states. This example appears to be in nearly new condition."
,"$10,800 ",450 SX-F FACTORY EDITION,  2022 KTM Mx,"2022.5 KTM 450 SX-F Factory Edition. Original Vet owner with 44.9 hours on it. The bike is in perfect working condition, it needs nothing accept a new owner. The only reason I'm selling it is because I have had a new Factory Edition every year since 2015."
57 miles,"$7,995 ",350 XC-F,  2020 KTM Dual Sport,"2020 KTM 350 XC-F,"
"2,220 miles","$8,000 ",620,  1995 KTM Dual Sport,"ATTN: COLLECTORS: SUPER RARE 1 OF 1 : 1995 KTM 620 LC4 RALLYE DAKKAR EDITION. Verified by KTM only one of these bikes were brought into the USA to promote the INCA rallye. Awarded to be sold by KTM dealer of the year 1995 (in TX). This model was a special color combination and equiped with special options. All purple body work with oversize Acerbis Nylon 5 gallon gas tank. Custom factory sponsor graphics kit with signature of Hienz Kindgardner. Special seat cover by Tecnosel. Center stand. Skid plate. Keyed ignition. Steering lock, Mirrors. Rear Rack. Hand Gaurds. Street legal with super low time on this machine. in storage for many years. 2220 miles, Original owner. Original Michelin Karoos. Very well cared for and has been on display inside at industry business for many years. When this bike was purchased new, a complete extra set of purple plastic body work, was purchased and has been in storage as new never  , a new factory graphics kit. New Plastic including a new oversize Acerbis fuel tank, front and rear fenders, side panels head light cover, fork gaurds, tail light assembly and several special magenta and white Tecnosel seat covers. This bike is practaclly new. Easy to start and runs very strong with raw brute power. please see images to confirm condition of bike and extra parts to be included with sale. Collect, or Ride, or both. If you like KTM's this is a special bike complete with manuals, Preserve this machine for future generations. $8000.00 Price is negotiable."
35 miles,"$9,586 ",790 DUKE,  2019 KTM Standard,"2019 KTM 790 DUKE , Are you looking for an incredible deal on a sport bike? Look no further than the 2019 KTM 790 Duke! This black beauty is in excellent condition and has only 35 miles on it. The KTM 790 Duke is a powerful and agile machine that is perfect for the street or the track. It features a 799cc parallel-twin engine that produces 105 horsepower and 86 Nm of torque. It also has a lightweight trellis frame and a single-sided swingarm for superior handling. The bike is equipped with a slipper clutch, ride-by-wire throttle, and a Bosch 9M+ ABS system for added safety. The KTM 790 Duke is a great choice for riders who want a sport bike that is both powerful and agile. It has all the features you need to have a great time on the road or the track. Plus, you can get it for an amazing price at Big Easy Powersports. Don't miss out on this incredible deal!"
"14,833 miles","$13,500 ",SUPER DUKE 1290 R,  2015 KTM Super Moto,"I am selling my KTM 1290 Super Duke R only due to arthritis in my elbows (I am 65) and just not fun to ride anymore. I setup the bike to commute to work sometimes and the bags are fantastic to carry rain gear or store a riding jacket when it warms up on a ride. My KTM has just about every thing one could put on one. Tank bag quick disconnect, bags come off super easy but lock on. Has a Puig windscreen to take the wind off of your chest and it's great. It has KTM Power Parts front and rear seats, Evotech frame sliders, radiator guard,exhaust hanger,lower engine guard, front and rear axle sliders, Oberon orange clutch slave, KTM reservoir orange covers, Oberon orange footpegs, Led Headlight, CRG bar end mirrors, Pazzo orange levers, LED programmable tail light with integrated turns signals, Yoshimura tail tidy and all of the smog items removed and it is mapped with the Euro map for the Remus stainless midpipe and exhaust with a K&N filter. It has a KTM mount for a Garmin 396 but GPS itself does not go with it but you can pick one up easy on ebay for not very much. I have all oil change records using Motorex oil. Chain and sprockets and tires are in great shape. I never ab  it, its been garage kept and taken care of. I also have all of the stock items and even a rear seat cowling I   before I installed the SW-Motech bags. It runs and sounds fantastic. I also have the KTM front and rear stands that can go with it but if your shipping the bike you will need to cover shipping for it along with all stock parts. If you want a great bike loaded to the max and turns heads you will not regret getting this bike. I hate to see it go especially in all I have done."
"3,400 miles","$5,694 ",390 DUKE,  2018 KTM Standard,"IF YOU ARE A BIG GUY, THIS IS THE ONLY 390 DUKE THAT HAS BEEN CUSTOMIZED JUST FOR YOU. EXCEPTIONAL OPPORTUNITY WITH OVER $4500 WORTH OF EXTRASPlease note that I am not able to completely describe my motorcycle here because of Cycle Traders limit on the number of characters permitted in their ad's.Beyond pictures, if you are a rider who weighs at least 190lbs, then you owe it to yourself to learn about all that sets my bike apart from the rest - SEE MY EBAY MOTORS LISTING BELOW that describes features and enhancements and shows you all the extras that I am including with this bike Thank you!"
"5,560 miles","$5,299 ",DUKE 390 ABS,  2018 KTM Sportbike,"2018 KTM 390 Duke with custom Yoshimura Exhaust & Safety Crash bars! Low Miles.Great beginner bike with top quality safety and performance upgrades that allow new & experienced riders to enjoy awesome styling and easy to control platform that anyone will enjoy. Has the low-end engine power & torque with the legendary Yoshimura growl that will keep smiles on the rider's face for endless miles. Comes with two OEM keys, KTM key tag, KTM official owner portfolio and a custom large owners manual. Plenty of life & tread on the tires and recent oil change and new battery. CLEAR & CLEAN TITLE.Contact for more info and we hope it finds a new home as she gave my wife a great start to her new motorcycle passion. We will work with any buyer's transporter or shipper needs to the best of our abilities & time to get her to her new home. This is a GREAT bike."
