mileage,price,BIke name,Types and Used Time,description
"8,038 miles","$14,995 ",GSX-R1000,  2020 Suzuki Sportbike,Suzuki started with a goal to reclaim the GSX-R1000’s The King of Sportbikes crown.
"10,217 miles","$10,498 ",Boulevard M109R B.O.S.S.,  2019 Suzuki Cruiser,"This is the performance cruiser other bikes wish they were. The dark and muscular M109R B.O.S.S. has a powerful V-twin engine using some of the largest pistons in the industry a bike that will get your adrenaline flowing whenever you ride. This 109 cubic inch engine is wrapped with aggressive blacked out styling that includes slash-cut mufflers, drag-style bars, a supplied solo seat cowl, and a distinctively shaped headlight nacelle that’s uniquely Suzuki. This bike is not just about looks, as stout inverted forks, a hidden single-shock rear suspension, and an ideally designed saddle deliver responsive handling and an exceptionally comfortable ride. Performance never looked so good, or so dark."
18 miles,"$18,500 ",HAYABUSA GSX 1300,  2022 Suzuki Sportbike,"Clear titleNew bikebike Busa covernew Busa helment-never worn-custom mirror shieldNew Busa sport jacket2 sets of busa keysalways garagedno scratches-no scrapes-no body damagenever driven or road or highwaynever seen rainnever driven over 30 mphcustom busa seat cowlbeautiful black metallic & old gold paintpurchased/transferable/extended maintenance warrantyKYB 43mm inverted fork, fully adjustableFront: Brembo Stylema 4-piston caliper, twin 320mm discs w/ ABSRear: Nissin 1-piston caliper, 260mm disc w/ ABS5.3 gal.Transmission: 6-speed/chainBore x Stroke: 81.0 x 65.0mmClutch: Wet, multiplate assist/slipper; hydraulic actuationTires Front & Rear: Bridgestone Battlax Hypersport S22; 120/70ZR-17 / 190/50ZR-17Multiple ride modesCruise controlHill assistLaunch Control"
"10,600 miles","$6,450 ",V-STROM 650 ABS ADVENTURE,  2013 Suzuki Dual Sport,"For sale is a 2013 Suzuki V-Strom 650 Adventure ABS. It is like new. It comes with everything including a helmet, armor jacket, gloves, boots, rain gear, intercom, and much more. It is the DL650A V-strom 650 ABS Adventure. Yes, it runs perfectly - like new. Here are the features and included accessories for this bike.The Bike has never been down, starts, runs, and rides perfectly. It is stock with the exception of the yellow grips. 10,640 miles. Clean title in hand. Sorry, I will not ship. Located in the Franklin area. IF THE AD IS UP, YES, IT IS AVAILABLE. Selling as a package KBB book value just for the bike is $6,600 Asking $6,500 for everything"
"5,540 miles","$6,999 ",DR-Z400SM,  2021 Suzuki Competition,
"5,352 miles","$15,000 ",GSX-R 1300,  2008 Suzuki Sportbike,"This bike has $50,000 in upgrades and gets a lot of attention. The list of upgardes are in the photo section. I physically can't ride crotch rockets anymore and it's time for me to buy a cruiser and slow down. Overall the bike is in good condition and runs graet. I recently had the rear rotor resurfaced, the front and back brakes replaced, the air filter replaced, the oil changed, the spark plugs replaced, and all the liquids flushed. The bike is 15 years old and does have some scratches in the paint and the chrome is pitted on the bike. Please review the pictures. It's never been wrecked but it does look like one of the previous owners dropped it in the parking lot or garage on the left side. The plastics are not cracked. The bike comes with a rear seet too! I keep it covered outside in my driveway and I start it up weekly to keep it running good."
"36,000 miles","$7,799 ",V-STROM 1000 ABS ADVENTURE,  2014 Suzuki Dual Sport,"36 K milesFirst ownerTitle on hand, clean, under my name.All services done punctually on the dot.Lots of extras!-Front forks redone with Race Tech springs.-Wilber fully adjustable rear shock! (made in Germany)-Powwer Commander-GPR exhaust with beautiful sound.-Center stand!-Sargent heated (rider) seat!-Oxford heated grips!-Piaa yellow fog lights-two BRAND NEW TIRES, installed September 2022.-Just done: Oil and filter change, new spark plugs and new K and N air filter.Chain and battery replaced within the last yearRegistration paid until May 2023In OUTSTANDING shape, 1st owner, all services done compulsively on time.If you are looking here, you probably already know that V-Stroms are one of the most reliable motorcycles in the market.This engine can go 200K miles without a glitch if you treat it like I did.This unit has been lovingly cared for, always covered or garaged at night, all services done on time. It is a real wonderful machine to be on the road with, especially for long distances. I hate to let her go, but I'm starting a different kind of riding that calls for a different type of motorcycle.A heck of a machine, more than ready to go!THIS IS A PRIVATE SALE.YOU CAN SEE THIS MOTORCYCLE AT:GP SPORTS2020 CAMDEN AVE. SAN JOSE, CA(408) 377-8780"
,"$12,849 ",GSX-R750,New 2023 Suzuki Sportbike,"Suzuki revolutionized the sportbike category with the introduction of the original GSX-R750 in 1985. Today, the 2023 GSX-R750 continues Suzuki’s tradition of building Supersport bikes powered by a strong engine carried in a lightweight and nimble chassis."
"2,600 miles","$8,499 ",V STROM 650XT ADVENTURE,  2020 Suzuki Sport Touring,"If you're not familiar with the Suzuki V-Strom DL650XT ADV, it is a proven, ultra reliable sport adventure tourer. If you Google it, go to www. stromtrooper.com and visit the V-Strom community, or check it out on YouTube, you will find that people do everything with these bikes from commuting to work, to long distance touring, to canyon carving, and of course the fun begins when you find a back road, fire road, forest service road, etc and go exploring! This is the Swiss army knife of motorcycles that does it all! I purchased it new in April 2021 from Birds of Prey Motorsports, Caldwell, Idaho. It has been babied, never ridden hard (I'm 63 years old), meticulously maintained, and has only 2600 miles on the ODO. I've already eaten the depreciation on this $10, 499.00 bike plus the tax, dealer doc fees, freight, assembly etc. 2023 MSRP is $10,799.00 if you can find one. It has abs brakes, traction control, three electronic riding modes, and throttle assist for easy take off. ADV package came with anodized/tubeless/spoke rims, aluminum panniers, engine protector crash bars, plastic hand guards, handlebar cross brace (blue Suzuki aftermarket crossbar pad included), 12V pigtail for battery tender and accessories, 12v outlet, aluminum mirror extenders, etc. Around 2K worth of accessories I've added include: Dunlop Trailmax Mission tires (OEM Michelin Battlax tires included), RaveTech skid plate (OEM plastic cowl engine guard included), RaveTech headlight rock guard, T-Rex racing radiator guard, Puig auxiliary lights w/optional rock guards, Puig windshield deflector blade, SeatConcepts saddle (OEM saddle in perfect condition included), IMS Adv pegs (OEM pegs included), KTM Super Duke mirrors (OEM mirrors with aluminum extenders included), AdventureTech fork brace, AdventureTech footpeg/controls lowering kit, ROX fully adjustable handlebar risers, SW Motech aluminum handguards with extended wind guards, Ram phone mount, blue anodized V-Strom: swing arm spool/sliders, crash bar protector/sliders, kickstand foot, master cylinder cover & oil fill cap (black OEM included), mini compressor, tubeless repair kit, battery tender, waterproof cover, and any other farkles I can't remember that I would gather up to include. Anybody that knows what this bike is knows that it's a steal at $8,999.00! So make me a reasonable offer and I'll work with you. Got married and wife has a dog, so I'm switching from the motorcycle to an SUV and the bike must go."
,"$18,799 ",Hayabusa,New 2023 Suzuki Sportbike,"The Suzuki Hayabusa has firmly established its status as motorcycling’s Ultimate Sportbike. The 2023 version of Suzuki’s flagship sportbike is propelled by a muscular, refined inline four-cylinder engine ho  in a proven and thoroughly updated chassis with incomparable manners, managed by an unequaled suite of electronic rider aids within stunning aerodynamic bodywork that is distinctly Hayabusa."
