mileage,price,Bike name,Types and Used  Time,description
"1,261 miles","$16,688 ",Star Eluder,  2018 Yamaha Touring,"2018 Yamaha Star Eluder, 2018 Yamaha Star Eluder"
"11,256 miles","$17,999 ",Star Venture,  2018 Yamaha Touring,"2018 Yamaha Star Venture, 2018 Yamaha Star Venture"
"7,276 miles","$5,999 ",ROAD STAR BAGGER,  1999 Yamaha Custom,"This Custom Yamaha Cruiser Bagger was the flagship model featured a 1,600cc V-twin engine that was the world’s largest on a production motorcycle at the time. The 800cc per cylinder and bore x stroke of 95 x 113 mm produced maximum torque at just 2,000 rpm. The machine created both a unique feeling of engine pulse and a comfortable riding experience with its OHV 4-valve format utilizing a hydraulic lifter mechanism, optimized crankshaft revolving mass, rigid engine mounting and more."
"9,400 miles","$6,500 ",FZ-09,  2015 Yamaha Sportbike,"-Outstanding Condition. -Meticulously Maintained. -Mechanically and Cosmetically Flawless. -Title in Hand. -Please, scope out the detailed photos and YouTube video for proof of this bike's flawless condition. And if you would like to see more, feel free to reach out. -Full Synthetic Oil Changes - Mobil 1 4T - Performed Ahead of Recommended Intervals. -Complete Documentation of Service / Maintenance / Upgrades / Modifications. -Akrapovic Racing Line Full Exhaust - Carbon Muffler. -K-Tech Fork Cartridges - Fully Adjustable (Preload, Compression, Rebound). -Race Tech Fork Springs. -K-Tech Razor-R Rear Shock with Remote Reservoir - Fully Adjustable (Length, Preload, Compression, Rebound). -EBC Double H Sintered Brake Pads - Front and Rear. -APE Manual Cam Chain Tensioner. -ECU Originally Flashed by Vcyclenut. -ECU Currently Flashed by Ivan’s Performance Products (AKA Rockland County Motorcycle). Choose your tune. Ship to tuner of your choice for free reflash. -Secondary Air Injection System Block Off Plates. -Michelin Road 5 Tires - Approximately 70% Tread Remaining on Rear - 85% Remaining on Front. -GB Racing Engine Case Covers - Full Set. -Puig Windscreen. -Shogun Frame Sliders. -TST Industries Front Turn Signals. -TST Industries Rear Integrated Lighting Tail, Brake, and Turn. -SW Motech Luggage Rack. -MMG LIthium Ion Battery. -Renthal G149 Grips. -RAM Ball Mount on Handlebar Clamp. -Blackstone Laboratories Full Oil Analysis - From Most Recent Prior Fill. -500 Miles on Oil and Filter. -400 Miles on Brake Fluid - Front and Rear. -Original Coolant Flushed and Replaced with Toyota Long Life Red/Pink. -Currently Registered and Titled in Idaho. -Currently Parked in Idaho Falls, Idaho. -If interested, please contact me (Paul) for further details, questions, or concerns. I will not arrange shipping. Shipping and delivery, if necessary, is the buyer’s responsibility. I am an over-the-road truck driver. As such, the best way to reach me is directly through cycletrader’s text based messaging system. Apologies, as I will typically not be able to respond immediately. Please, be patient. I will respond as quickly as possible. Thank you for your interest!"
"6,689 miles","$13,499 ",Super Tenere ES,  2021 Yamaha Dual Sport,"2021 Yamaha Super Tenere ES, 2021 Yamaha Super Tenere ES"
"8,415 miles","$6,150 ",FZ-07,  2017 Yamaha Sportbike,"Mint condition 8,415 miles"
"1,374 miles","$4,200 ",SMAX XC155,  2019 Yamaha Scooter,2019 Yamaha Smax 155cc-Immucalate like new condition. -Stored on a battery tender in a climate controled garage. -Battery Tender hookup under the seat. -Givi Touring Windshield with Original Factory Yamaha Shield included. -Owners Manual & Spare Key-1374 miles-Private Owner-81mpg. 80mph. -Clean Florida Title in hand-Recently moved over to a trike.
"10,170 miles","$5,799 ",V Star 950 BASE,  2009 Yamaha Cruiser,"2009 Yamaha V Star 950, JUST OVER 10K MILES, WINDSHIELD, GREAT SOUNDING VANCE AND HINES PIPES, SPEAKERS, COMFY MUSTANG SEAT, SISSY BAR.  LOOKS AND SOUNDS GREAT!"
"9,158 miles","$5,900 ",XV1700PC,  2004 Yamaha Cruiser,"Always stored in garage and in excellent condition! Taken in to the shop at the beginning of every season for routine maintenance and safety inspections. Detachable sissy bar back rest, Detachable CorTech saddle bags and Optional detachable windshield included. Will consider covering the cost to ship to your location with the right offer.Displacement (cc) - 1670Engine Type - V TwinCylinders - 2Engine Stroke - 4Valve Configuration - OHV - PushrodCarburetion Type - Fuel InjectedTransmission Type - ManualNumber of Speeds - 5 SpeedPrimary Drive System - Belt"
1 miles,"$3,799 ",Zuma 125,New 2023 Yamaha Scooter,
"7,872 miles","$17,999 ",Star Venture,  2018 Yamaha Touring,
