mileage,price,Bike name ,Time of USed,description
"1,050 miles","$49,995 ",1199 Superleggera 1299,  2014 Ducati Sportbike,"2014 Ducati 1199 Superleggera, 2014 Ducati 1199 Superleggera"
"6,308 miles","$11,795 ",Monster 821 Stealth,  2021 Ducati Dirt Bike,"2021 Ducati Monster 821 Stealth,"
"2,400 miles","$9,495 ",Scrambler 1100,  2018 Ducati Sportbike,"2018 Ducati Scrambler 1100,"
,"$20,000 ",DIAVEL 1260 S,  2021 Ducati Cruiser,"This Diavel 1260 S is Ducati’s ultimate high-performance cruiser featuring traditional Italian style and refined ergonomics along with fully adjustable Öhlins suspension, selectable riding modes, and a Testastretta DVT engine producing 159 HP. Sparingly   and meticulously maintained by its owner, this Diavel 1260 S is now being offered for sale out of California with 1,800 miles showing on the odometer.This Diavel comes standard in Ducati Red with white accents and this particular example has been enhances with genuine Ducati Performance fenders and a headlight bezel in carbon fiber. All carbon components being installed by the dealer at delivery. The original plastic parts will accompany the sale and the bodywork is completely preserved under paint protection film and ceramic coating, detailed images are provided in the gallery.A liquid-cooled 1,262 Testastretta DVT V2 DOHC engine delivers up to 159 HP to the rear wheel through a 6-speed manual transmission. The frame is a trellis with exposed red steel tubes, a fully adjustable Öhlins fork and shock-absorbers, an aluminum swinging arm, and Brembo brakes. It rides on 17” forged aluminum rims wrapped in Pirelli Diablo Rosso III tires. Electronics include Bosch cornering ABS, traction control, wheelie control, launch control, selectable power and ride modes, a TFT dash, and full LED lighting. All maintenance is up to date and performed by Pro Italia Motorcycles of Los Angeles California.The motorcycle is brand new. It has been taken care of and properly maintained since the first day of ownership. The motorcycle was selectively ridden mainly in the Azusa canyons with my wife. I am parting with my motorcycle due to a lack of time to ride. The motorcycle has not been ridden on track or hard for that matter. It has never been dropped or seen any damage of any sort. This motorcycle has also not been subjected to any rain. It is always parked in its spot in my garage"
,"$34,990 ",PAUL SMART 1000,  2016 Ducati Sport Touring,"*Now Available* 2006 Ducati Paul Smart 1000LE Motorcycle, Absolutely Stunning, Collector-Grade Example! ONLY 92 miles traveled since new! Incredibly Rare Motorcycle - 1 of only 2,000 produced to commemorate Ducati racer Paul Smart’s win at the Imola 200 in 1972. The PS1000LE is finished in Metallic Silver paint over a Sea Green steel trellis frame featuring a color-matched cowl, front + side fairings with number 16 meatballs, chrome fuel cap, clip-on handlebars and Paul Smart 1000 Limited Edition fairing brace cap. Power is produced by an air-cooled 992cc L-twin producing 92 horsepower + 67 lb-ft of torque featuring desmodromic valves, Marelli electronic fuel injection, and a black two-into-two exhaust system with Termignoni mufflers, adjustable Öhlins suspension, Brembo brakes (4 piston/twin 320mm front + 2 piston/245mm rear) and 17" wire-spoke wheels. The condition of this Ducati is incredible! This example has been enjoyed as a collector’s item since new and has always resided in a climate-controlled environment. Never exposed to harsh conditions, therefore, all rubber components are live and supple. This Paul Smart 1000LE will not disappoint! Clean History with No Drama or Issues. Please Call or email to learn more! 513-554-1BMW (1269)"
"11,200 miles","$5,500 ",ST 2,  1999 Ducati Sport Touring,"This 1999 Ducati ST2 is finished in red over a gold trellis frame and is powered by a 944cc desmodromic L-twin paired with a six-speed transmission. Equipment includes a hydraulic dry clutch, hard-sided saddlebags, and triple Brembo disc brakes, while modifications consist of an ST3 comfort seat, an upgraded clutch slave cylinder, a brand new lithium-ion battery, a Ventura headlight guard, a Euro-market ECU chip and handlebar light switch, a contoured touring windscreen, and handlebar risers. The bike first served as a dealer demonstrator at Britalia Motors of Capitola, California and remained with the dealership’s owner since August of 2021. The Seller acquired the bike to be part of an extensive collection of sporting vehicles as a static display and other than exercising the engine monthly the bike has not been driven on the street since his acquisition in 2021. This ST2 shows 11.2k miles and is now offered with a factory shop manual, a tool kit, a Ducati-branded bike cover, two sets of keys, spare parts, and a clean Florida title in the seller’s name.The bike features locking detachable Nonfango saddlebags, a plastic rear fender, a tall contoured windscreen, color-matched mirrors, integrated front turn signals, both center and side stands, and a Britalia Motors-branded zipper guard. The seller notes a paint touch-up on the replacement right-side upper fairing.Three-spoke 17" wheels are finished in gold and are wrapped with older Michelin tires measuring 120/70 front and 170/60 rear which should be replaced. Suspension consists of a 43mm inverted fork and a progressive-linkage monoshock.Instrumentation includes a 160-mph speedometer, an 11k-rpm tachometer, a digital display showing coolant temperature, fuel level, and time of day, and a five-digit mechanical odometer showing 11.2k miles. The individual bolt-on handlebars have been fitted with taller risers and a Euro-market light switch that allows the bike to be started with the headlight turned off. The brake reservoir cap has been powder-coated. The liquid-cooled 944cc L-twin features two desmodromic valves per cylinder and electronic fuel injection. A Euro-market ECU chip was installed by the former owner, as was an upgraded clutch slave cylinder from a later model. Power is transferred to the rear wheel through a six-speed transmission and a drive chain. Replacement mufflers and a spare Ducati chain accompany the bike as well as extensive records and marketing materials."
"1,300 miles","$34,900 ",STREETFIGHTER V4 SP,  2022 Ducati Sportbike,"2022 Ducati Streetfighter V4SP with 1199 miles only. This is the earlier production numbered limited Sports Production series with the original books and 2 keys included. Purchased, serviced and upgraded at the same NJ Ducati dealer. All service up to date. Still under warranty. Over $7k invested.All the add-ons make this much better than the SP2, which is sold out anyway.Arrow titanium exhaust with T800 upmap and shortened OEM plate holder with turn signals and OEM mirrors. This is all that is included with the bike at the current list price.The following items are optional and will be included for additional $2.9k: Carbon race tank pad extender, Custom billet tail with led turn signals and plate holder with the plate light, Ducabike frame sliders, Evotech radiator guards and axle sliders, Custom bar-end glass-less mirrors made out of polished steel, Ducati tail bag, Center service/storage stand, OEM Ducati cover, SP Connect phone holder, USB and USBc charger."
"1,591 miles","$14,500 ",MULTISTRADA 1200 ENDURO PRO,  2017 Ducati Dual Sport,
"15,572 miles","$14,999 ",Superbike 1199 Panigale R,  2014 Ducati Sportbike,"2014 Ducati Superbike 1199 Panigale R,"
"4,757 miles","$12,000 ",DIAVEL CARBON,  2011 Ducati Sportbike,This Ducati Diavel is very clean and in almost new condition. I purchased it brand new in 2011. It was recently in for service at a Ducati dealership where the brake fluid and engine oil were changed and systems checked. The technicians and manager were impressed by how clean it is and said it was the nicest Diavel they have seen. The bike has a few minor blemishes which I will show in the photos. All of the accessories and upgrades where installed by the dealership along with new fuel mapping & ECU for the new exhaust system. These upgrades listed below are all from high-end Italian manufactures.
