,city,day_of_week,date,value
0,Antwerpen,Friday,2019-05-10,11.0
1,Antwerpen,Friday,2019-05-24,74.5
2,Antwerpen,Friday,2019-05-31,9.0
3,Antwerpen,Friday,2019-06-14,36.5
4,Antwerpen,Monday,2019-05-13,14.5
5,Antwerpen,Monday,2019-05-20,24.84375
6,Antwerpen,Monday,2019-05-27,10.5
7,Antwerpen,Monday,2019-06-10,18.5
8,Antwerpen,Monday,2019-06-17,40.625
9,Antwerpen,Saturday,2019-05-11,23.75
10,Antwerpen,Saturday,2019-05-18,36.5
11,Antwerpen,Saturday,2019-05-25,29.0
12,Antwerpen,Saturday,2019-06-01,52.5
13,Antwerpen,Saturday,2019-06-15,17.5
14,Antwerpen,Sunday,2019-05-12,18.75
15,Antwerpen,Sunday,2019-05-19,20.5
16,Antwerpen,Sunday,2019-05-26,53.0
17,Antwerpen,Sunday,2019-06-09,10.0
18,Antwerpen,Sunday,2019-06-16,42.5
19,Antwerpen,Thursday,2019-05-09,20.25
20,Antwerpen,Thursday,2019-05-16,28.0
21,Antwerpen,Thursday,2019-05-23,60.5
22,Antwerpen,Thursday,2019-05-30,7.5
23,Antwerpen,Thursday,2019-06-13,28.5
24,Antwerpen,Tuesday,2019-05-07,47.75
25,Antwerpen,Tuesday,2019-05-14,13.0
26,Antwerpen,Tuesday,2019-05-21,15.5
27,Antwerpen,Tuesday,2019-05-28,11.0
28,Antwerpen,Tuesday,2019-06-11,7.5
29,Antwerpen,Wednesday,2019-05-08,21.75
30,Antwerpen,Wednesday,2019-05-15,24.0
31,Antwerpen,Wednesday,2019-05-22,20.5
32,Antwerpen,Wednesday,2019-05-29,21.0
33,Antwerpen,Wednesday,2019-06-05,15.0
34,Antwerpen,Wednesday,2019-06-12,21.0
35,London,Friday,2019-05-10,33.458333333333336
36,London,Friday,2019-05-17,28.666666666666668
37,London,Friday,2019-05-24,33.608695652173914
38,London,Friday,2019-05-31,20.208333333333332
39,London,Friday,2019-06-07,25.17391304347826
40,London,Friday,2019-06-14,17.434782608695652
41,London,Monday,2019-05-13,29.0
42,London,Monday,2019-05-20,31.375
43,London,Monday,2019-05-27,20.458333333333332
44,London,Monday,2019-06-03,14.75
45,London,Monday,2019-06-10,29.791666666666668
46,London,Monday,2019-06-17,12.916666666666666
47,London,Saturday,2019-05-11,31.157894736842106
48,London,Saturday,2019-05-18,33.916666666666664
49,London,Saturday,2019-05-25,31.125
50,London,Saturday,2019-06-01,25.333333333333332
51,London,Saturday,2019-06-08,11.136363636363637
52,London,Saturday,2019-06-15,16.238095238095237
53,London,Sunday,2019-05-12,27.708333333333332
54,London,Sunday,2019-05-19,35.0
55,London,Sunday,2019-05-26,23.333333333333332
56,London,Sunday,2019-06-02,34.541666666666664
57,London,Sunday,2019-06-09,11.478260869565217
58,London,Sunday,2019-06-16,16.17391304347826
59,London,Thursday,2019-05-09,44.65217391304348
60,London,Thursday,2019-05-16,28.833333333333332
61,London,Thursday,2019-05-23,32.541666666666664
62,London,Thursday,2019-05-30,13.666666666666666
63,London,Thursday,2019-06-06,11.565217391304348
64,London,Thursday,2019-06-13,17.391304347826086
65,London,Tuesday,2019-05-07,22.19047619047619
66,London,Tuesday,2019-05-14,28.208333333333332
67,London,Tuesday,2019-05-21,30.875
68,London,Tuesday,2019-05-28,22.782608695652176
69,London,Tuesday,2019-06-04,22.666666666666668
70,London,Tuesday,2019-06-11,22.166666666666668
71,London,Wednesday,2019-05-08,26.52173913043478
72,London,Wednesday,2019-05-15,31.26086956521739
73,London,Wednesday,2019-05-22,29.291666666666668
74,London,Wednesday,2019-05-29,14.75
75,London,Wednesday,2019-06-05,11.333333333333334
76,London,Wednesday,2019-06-12,28.714285714285715
77,Paris,Friday,2019-05-10,32.854166666666664
78,Paris,Friday,2019-05-17,35.4375
79,Paris,Friday,2019-05-24,29.195833333333336
80,Paris,Friday,2019-05-31,32.550000000000004
81,Paris,Friday,2019-06-07,21.044444444444444
82,Paris,Friday,2019-06-14,36.46666666666666
83,Paris,Friday,2019-06-21,20.0
84,Paris,Monday,2019-05-13,21.662499999999998
85,Paris,Monday,2019-05-20,26.920833333333334
86,Paris,Monday,2019-05-27,19.85
87,Paris,Monday,2019-06-03,27.891666666666666
88,Paris,Monday,2019-06-10,18.416666666666668
89,Paris,Monday,2019-06-17,34.395833333333336
90,Paris,Saturday,2019-05-11,26.804761904761904
91,Paris,Saturday,2019-05-18,27.045833333333334
92,Paris,Saturday,2019-05-25,32.09047619047619
93,Paris,Saturday,2019-06-01,32.33809523809524
94,Paris,Saturday,2019-06-08,15.854545454545455
95,Paris,Saturday,2019-06-15,17.65714285714286
96,Paris,Sunday,2019-05-12,18.108333333333334
97,Paris,Sunday,2019-05-19,32.733333333333334
98,Paris,Sunday,2019-05-26,19.2
99,Paris,Sunday,2019-06-02,23.383333333333336
100,Paris,Sunday,2019-06-09,28.958333333333332
101,Paris,Sunday,2019-06-16,17.2625
102,Paris,Thursday,2019-05-09,27.795833333333334
103,Paris,Thursday,2019-05-16,23.930434782608696
104,Paris,Thursday,2019-05-23,46.40416666666667
105,Paris,Thursday,2019-05-30,17.0125
106,Paris,Thursday,2019-06-06,25.046666666666667
107,Paris,Thursday,2019-06-13,32.795833333333334
108,Paris,Thursday,2019-06-20,22.254545454545454
109,Paris,Tuesday,2019-05-07,33.98695652173913
110,Paris,Tuesday,2019-05-14,22.804166666666664
111,Paris,Tuesday,2019-05-21,38.949999999999996
112,Paris,Tuesday,2019-05-28,20.020833333333332
113,Paris,Tuesday,2019-06-04,30.52916666666667
114,Paris,Tuesday,2019-06-11,34.94583333333333
115,Paris,Tuesday,2019-06-18,40.01538461538462
116,Paris,Wednesday,2019-05-08,25.0125
117,Paris,Wednesday,2019-05-15,20.8
118,Paris,Wednesday,2019-05-22,43.05416666666667
119,Paris,Wednesday,2019-05-29,23.958333333333332
120,Paris,Wednesday,2019-06-05,34.829166666666666
121,Paris,Wednesday,2019-06-12,27.525000000000002
122,Paris,Wednesday,2019-06-19,26.950000000000003
